0,1,2
2.713032681,-1,26943
15.19114939,-1,27107
7.585049894,-1,21213
40.70023204,-1,20126
10.69040421,1,19120
7.971225178,-1,20233
4.602207868,1,27737
-33.80806418,1,45069
126.3541537,1,49010
-52.87935219,1,83414
20.66152719,-1,31473
-13.44980894,-1,41588
-0.559613037,-1,37758
34.11460314,1,26841
-52.00539153,1,24640
11.14001826,1,16316
1.135422086,-1,19921
0.508306664,-1,40399
33.20949486,1,24554
3.553112243,-1,24895
16.02012443,-1,19222
0.085137266,-1,25715
-3.878321651,1,26940
19.95606482,-1,30640
19.26054431,-1,19109
-22.46902098,1,26592
15.78349756,1,17866
18.26929525,1,29493
79.21939487,-1,63678
-39.00312689,1,62286
5.239430477,1,30977
30.90097287,-1,37683
-19.28665659,1,34750
